wohnflaeche;grundstueckflaeche;anz_zimmer;kategorie;keller;baujahr;energieeffizienz;zustand;kontextWert;price1;price2;priceDelta
1.19;-1467.01;0.0;0;0;3;-2;2;50;42000;285000;-243000
1.2;-1467.0;0.0;0;0;3;-2;2;50;42000;285000;-243000
-10.0;-99.0;-1.0;0;-1;379;1;0;-100;42000;69000;-27000
0.0;170.0;3.0;1;0;-190;-1;0;-100;45000;42000;3000
-10.0;71.0;2.0;1;-1;189;0;0;-200;45000;69000;-24000
-30.0;-20.0;2.0;0;0;-90;0;0;100;45000;109000;-64000
-11.35;1648.0;-4.0;1;-2;4;0;0;0;65000;120000;-55000
1.0;1065.0;-4.0;1;-2;-26;-1;0;0;65000;185000;-120000
-10.0;186.0;-3.0;1;-2;7;-3;3;50;65000;229500;-164500
-6.0;-118.0;1.0;1;-1;-14;0;0;0;69000;299000;-230000
4.04;101.0;1.0;0;0;-13;0;0;150;69000;369000;-300000
13.0;-151.0;0.0;0;0;0;1;3;0;69000;389000;-320000
-1.52;290.0;1.0;0;0;-82;0;0;-200;69000;99000;-30000
-2.03;-274.0;1.5;1;-1;-86;0;0;150;69000;125000;-56000
-2.03;-274.0;1.5;1;-1;-86;0;0;150;69000;125000;-56000
-1.0;-508.0;0.0;1;-1;-88;0;0;-50;69000;129000;-60000
0.0;-19.0;-2.0;0;-1;-43;0;-3;-150;69000;89900;-20900
0.0;-189.0;0.0;0;0;236;0;-3;-150;69000;69000;0
0.0;170.0;-2.0;0;-1;-279;0;0;0;69000;89900;-20900
10.0;99.0;1.0;0;1;-379;-1;0;100;69000;42000;27000
-5.0;-971.0;0.0;0;0;-334;0;0;50;69000;159000;-90000
-2.6;-80.0;0.0;0;1;0;0;2;0;70000;162000;-92000
-7.6;202.0;-1.0;0;1;-20;2;0;0;70000;115000;-45000
12.4;-141.0;0.0;1;2;6;2;0;100;70000;89000;-19000
0.0;-404.0;1.0;0;-2;-8;0;2;-50;70000;125000;-55000
-5.0;-2.0;0.0;0;-1;-36;0;0;-300;70000;115000;-45000
-16.0;-4.0;-1.0;0;0;20;0;2;-150;70000;124900;-54900
-7.0;76.0;-11.0;1;-2;0;-3;2;50;79000;295000;-216000
29.0;-286.0;-5.0;0;-1;0;-1;0;-50;79000;95000;-16000
8.0;-220.0;-5.0;1;-1;-10;-2;0;150;79000;199000;-120000
23.0;7.0;2.0;0;0;0;-1;0;100;79000;335000;-256000
-2.0;-79.0;1.0;0;-2;-51;-1;0;-50;79000;125000;-46000
-22.0;-274.0;0.0;0;0;0;0;-2;-50;79000;169000;-90000
0.0;0.0;0.0;0;0;0;0;0;0;79500;79500;0
0.0;-609.0;-2.0;1;0;2;0;3;0;79500;179000;-99500
-7.0;31.0;-2.0;1;1;-39;-1;0;50;79500;135000;-55500
0.0;0.0;0.0;0;0;0;0;0;0;79500;79500;0
0.0;-609.0;-2.0;1;0;2;0;3;0;79500;179000;-99500
-7.0;31.0;-2.0;1;1;-39;-1;0;50;79500;135000;-55500
-14.0;772.0;2.0;1;-1;6;-2;0;-50;80000;102000;-22000
-14.0;772.0;2.0;1;-1;6;-2;0;-50;80000;112000;-32000
13.0;301.0;1.0;1;0;-36;0;0;-100;80000;119000;-39000
10.0;-66.0;-3.0;0;2;-9;-1;0;100;84500;99000;-14500
0.0;-113.0;-4.0;1;2;-9;-3;0;-150;84500;310000;-225500
10.0;-88.0;0.0;0;0;-9;-1;-2;150;84500;113875;-29375
0.0;0.0;0.0;0;0;0;0;0;0;85000;85000;0
-10.0;-82.0;1.0;0;0;-12;1;0;150;85000;299000;-214000
0.15;-211.0;5.0;1;1;-50;-1;0;50;85000;330000;-245000
7.0;31.0;0.0;0;0;4;0;0;50;85000;247000;-162000
-1.49;-3.0;3.0;0;1;0;0;0;100;85000;159000;-74000
2.0;232.0;2.0;0;0;-3;0;0;0;85000;169000;-84000
0.0;0.0;0.0;0;0;0;0;0;0;85000;85000;0
-10.0;-82.0;1.0;0;0;-12;1;0;150;85000;299000;-214000
0.15;-211.0;5.0;1;1;-50;-1;0;50;85000;330000;-245000
-12.4;141.0;0.0;1;-2;-6;-2;0;-100;89000;70000;19000
-15.0;-59.0;0.0;1;-2;2;0;2;150;89000;125000;-36000
0.0;-45.0;0.0;1;-2;-21;-1;2;-150;89000;125000;-36000
-18.0;88.0;-6.0;0;0;0;-1;3;100;89000;179000;-90000
27.0;123.0;1.0;0;2;188;0;0;-50;89000;174000;-85000
-39.35;75.0;0.0;0;0;-30;0;0;50;89000;120000;-31000
0.0;-170.0;2.0;0;1;279;0;0;0;89900;69000;20900
-20.0;-174.0;3.0;0;0;0;-1;0;200;89900;113875;-23975
-20.0;-174.0;3.0;0;0;0;-1;0;200;89900;113875;-23975
-1.0;-60.0;6.0;1;1;0;1;0;-100;95000;340000;-245000
