osm_id;ags;ort;plz;landkreis;bundesland;Struktur;Lage;avg_preis;KontextLabel
1851834;3355049;Amt Neuhaus;19273;Landkreis Lüneburg;Niedersachsen;ländlich;sehr peripher ;1650;ländlichsehr peripher 
1837837;3355009;Bleckede;19273;Landkreis Lüneburg;Niedersachsen;ländlich;peripher ;1650;ländlichperipher 
252889;3353031;Seevetal;21217;Landkreis Harburg;Niedersachsen;überwiegend städtisch;sehr zentral ;4250;überwiegend städtischsehr zentral 
252889;3353031;Seevetal;21218;Landkreis Harburg;Niedersachsen;überwiegend städtisch;sehr zentral ;4250;überwiegend städtischsehr zentral 
252889;3353031;Seevetal;21220;Landkreis Harburg;Niedersachsen;überwiegend städtisch;sehr zentral ;4250;überwiegend städtischsehr zentral 
68669;3353029;Rosengarten;21224;Landkreis Harburg;Niedersachsen;überwiegend städtisch;sehr zentral ;4500;überwiegend städtischsehr zentral 
280521;3353003;Bendestorf;21227;Landkreis Harburg;Niedersachsen;überwiegend städtisch;zentral ;4700;überwiegend städtischzentral 
280498;3353017;Harmstorf;21228;Landkreis Harburg;Niedersachsen;überwiegend städtisch;zentral ;3700;überwiegend städtischzentral 
111406;3353005;Buchholz in der Nordheide;21244;Landkreis Harburg;Niedersachsen;überwiegend städtisch;zentral ;4050;überwiegend städtischzentral 
310311;3353006;Dohren;21255;Landkreis Harburg;Niedersachsen;teilweise städtisch;zentral ;3150;teilweise städtischzentral 
280541;3353008;Drestedt;21255;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3150;ländlichzentral 
318180;3353021;Kakenstorf;21255;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3150;ländlichzentral 
335195;3353022;Königsmoor;21255;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3150;ländlichzentral 
337744;3353035;Tostedt;21255;Landkreis Harburg;Niedersachsen;überwiegend städtisch;zentral ;3150;überwiegend städtischzentral 
337740;3353041;Wistedt;21255;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3150;ländlichzentral 
318132;3353015;Handeloh;21256;Landkreis Harburg;Niedersachsen;ländlich;zentral ;4250;ländlichzentral 
318175;3353018;Heidenau;21258;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3200;ländlichzentral 
335201;3353027;Otter;21259;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3800;ländlichzentral 
337711;3353038;Welle;21261;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3400;ländlichzentral 
280522;3353020;Jesteburg;21266;Landkreis Harburg;Niedersachsen;überwiegend städtisch;zentral ;3700;überwiegend städtischzentral 
306573;3353002;Asendorf;21271;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3500;ländlichzentral 
318147;3353016;Hanstedt;21271;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3500;ländlichzentral 
309521;3353009;Egestorf;21272;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3400;ländlichzentral 
309522;3353036;Undeloh;21274;Landkreis Harburg;Niedersachsen;ländlich;zentral ;4200;ländlichzentral 
278581;3353001;Appel;21279;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3700;ländlichzentral 
280541;3353008;Drestedt;21279;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3700;ländlichzentral 
306358;3353019;Hollenstedt;21279;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3700;ländlichzentral 
280558;3353039;Wenzendorf;21279;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3700;ländlichzentral 
2420744;3355022;Lüneburg;21335;Landkreis Lüneburg;Niedersachsen;überwiegend städtisch;zentral ;3950;überwiegend städtischzentral 
2420744;3355022;Lüneburg;21337;Landkreis Lüneburg;Niedersachsen;überwiegend städtisch;zentral ;3800;überwiegend städtischzentral 
2420744;3355022;Lüneburg;21339;Landkreis Lüneburg;Niedersachsen;überwiegend städtisch;zentral ;3950;überwiegend städtischzentral 
1837837;3355009;Bleckede;21354;Landkreis Lüneburg;Niedersachsen;ländlich;peripher ;2250;ländlichperipher 
