id;plz;stadt;strasse;stadtteil;preis;wohnflaeche;grundstueckflaeche;anz_zimmer;kategorie;keller;baujahr;energieeffizienz;zustand;kontextLabel;kontextWert
55789885;37170;Uslar;Straße nicht freigegeben;;42000;120.0;180.0;5.0;einfamilienhaus;0;2000;1;3;5;1300
83869417;37639;Bevern;Straße nicht freigegeben;;45000;120.0;350.0;8.0;mehrfamilienhaus;0;1810;0;3;1;1200
29604921;29497;Woltersdorf;Straße nicht freigegeben;Thurau;65000;130.0;2181.0;2.0;bungalow;0;1972;0;3;0;1050
61892672;26723;Emden;Straße nicht freigegeben;Larrelt;69000;194.0;929.0;7.0;einfamilienhaus;1;1956;1;3;9;2150
62337878;26842;Ostrhauderfehn;Straße nicht freigegeben;;69000;62.97;526.0;4.0;doppelhaushälfte;1;1909;0;3;5;2150
45746403;37619;Bodenwerder;Straße nicht freigegeben;Rühle;69000;130.0;90.0;6.0;einfamilienhaus;1;1857;0;0;5;1250
27406277;31020;SalzhemmendorfOsterwald;Straße nicht freigegeben;;69000;130.0;279.0;6.0;einfamilienhaus;1;1621;0;3;1;1400
31529632;37154;Northeim;Straße nicht freigegeben;Imbshausen;70000;82.4;400.0;3.0;einfamilienhaus;2;1936;2;3;6;1800
41060997;37115;Duderstadt;Straße nicht freigegeben;;70000;85.0;196.0;4.0;einfamilienhaus;0;1920;0;3;5;1500
17977476;31020;Wallensen;Straße nicht freigegeben;;79000;249.0;372.0;8.0;einfamilienhaus;0;1900;0;3;1;1400
84313183;37154;NortheimStöckheim;Straße nicht freigegeben;;79000;68.0;507.0;4.0;einfamilienhaus;0;1900;0;1;6;1800
31080013;37574;Einbeck;Straße nicht freigegeben;Vogelbeck;79500;200.0;550.0;7.0;doppelhaushälfte;2;1936;1;3;5;1050
55860098;37574;Einbeck;Straße nicht freigegeben;Vogelbeck;79500;200.0;550.0;7.0;doppelhaushälfte;2;1936;1;3;5;1050
97997040;37445;Wieda;Straße nicht freigegeben;;80000;168.0;1100.0;8.0;mehrfamilienhaus;1;1850;0;3;1;950
