wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;floors;terrace;type;price;id;plz;street;city;district;kontextlabel;kontextWert
185;1000;5;einfamilienhaus;1;1966;1;1.2;1.9;Terasse;Massivhaus;499000;44897336;49448;Straße nicht freigegeben;Marl;;1;1750
329.56;1325;9;mehrfamilienhaus;2;2012;3;1.2;1;Terrasse. Garten ;Massivhaus;485000;32941641;49448;Straße nicht freigegeben;Hüde;;1;1750
206;971;9;mehrfamilienhaus;0;1963;1;1.2;1.9;Terrasse. Garten ;Massivhaus;315000;78809138;49448;Straße nicht freigegeben;Lemförde;;1;1750
195;1760;5;villa;1.19;2022;2.8;0;1.9;Terasse;KfW 40;475899;11787813;49448;Straße nicht freigegeben;Lemförde;;1;1750
197.5;1400;6.3;einfamilienhaus;0;1986;5;1.2;1.9;Terrasse. Garten ;Massivhaus;815000;73796188;49448;Straße nicht freigegeben;Lemförde;;1;1750
200;1081;7;einfamilienhaus;0;1920;1;1.2;1.9;Terrasse. Garten. Balkon ;Massivhaus;498000;49893947;49448;Straße nicht freigegeben;Marl;;1;1750
222;1194;7;einfamilienhaus;2;1976;2;1.2;1.9;Terrasse. Loggia ;Massivhaus;485000;51970517;49448;Straße nicht freigegeben;Hüde;;1;1750
37;761;2;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;51000;99536589;29313;Straße nicht freigegeben;Hambühren;Ovelgönne;6;2300
105.34;585;5;doppelhaushälfte;2;1952;0;1;1.9;Terasse;Massivhaus;285000;68552585;29313;Straße nicht freigegeben;Hambühren;Ovelgönne;6;2300
110;1;4;bungalow;1.19;2022;6;0;1.9;Terasse;Massivhaus;218750;45566904;29313;Straße nicht freigegeben;Hambühren;Hambühren II;6;2300
147;1034;4;einfamilienhaus;0;1994;4;1.2;1.9;Terrasse. Garten ;Massivhaus;468000;41314493;29313;Straße nicht freigegeben;Hambühren;Hambühren II;6;2300
112;414;4;bungalow;2;2004;2;0;1.9;Terrasse. Garten ;Massivhaus;329000;55455686;29313;Straße nicht freigegeben;Hambühren;Ovelgönne;6;2300
123;335;4;bungalow;1.19;1972;2;1.2;1.9;Terasse;Massivhaus;220000;19470455;29313;Sudermannstraße 36;Hambühren;Hambühren II;6;2300
200;1432;8;mehrfamilienhaus;1.19;2010;3;1;1.9;Terrasse. Garten. Balkon ;Massivhaus;549000;67068394;29313;Straße nicht freigegeben;HambührenOldau;;6;2300
170;645;6;einfamilienhaus;1.19;2019;6;1.2;1.9;Terasse;Fertighaus. KfW 55;589000;16132447;29313;Straße nicht freigegeben;Hambühren;Ovelgönne;6;2300
37;761;2;einfamilienhaus;1.19;1973;2.8;1.2;1.9;Terasse;Massivhaus;51000;72928166;29313;Straße nicht freigegeben;Hambühren;Ovelgönne;6;2300
135;890;4;bungalow;1.19;1976;2;3;1.9;Terrasse. Garten ;Holzhaus;325000;83659268;29313;Straße nicht freigegeben;Hambühren;Ovelgönne;6;2300
168;960;5;einfamilienhaus;1.19;1998;2;1;1.9;Terrasse. Garten ;Massivhaus;649000;89384689;29313;Straße nicht freigegeben;Hambühren;Ovelgönne;6;2300
147;1250;4;einfamilienhaus;1.19;1979;4;1;1.9;Terrasse ;Massivhaus;460000;30734830;29313;Straße nicht freigegeben;Hambühren;Ovelgönne;6;2300
120;711;4;einfamilienhaus;0;1971;2;3;1.9;Terrasse. Garten ;Massivhaus;349000;37875326;29313;Straße nicht freigegeben;Hambühren;Hambühren II;6;2300
200;1150;12;mehrfamilienhaus;1.19;1954;2;1.2;1.9;Terasse;Massivhaus;650000;39392882;29313;Straße nicht freigegeben;Hambühren;Hambühren II;6;2300
280;940;6;einfamilienhaus;2;1994;3;1;1.9;Terrasse. Garten ;Massivhaus;699000;61739245;29313;Straße nicht freigegeben;Hambühren;Ovelgönne;6;2300
100;220;4;einfamilienhaus;2;1974;2;1;1.9;Terrasse. Balkon ;Massivhaus;238500;25749159;29313;Sudermannstraße 70;Hambühren;Hambühren II;6;2300
200;1150;12;mehrfamilienhaus;1.19;1954;2;1.2;1.9;Terasse;Massivhaus;650000;93872974;29313;Straße nicht freigegeben;Hambühren;Hambühren II;6;2300
100;1100;4;bungalow;2;1974;0;3;1.9;Terrasse ;Massivhaus;189950;30270540;29313;Straße nicht freigegeben;Hambühren;Oldau;6;2300
167.5;312.5;4;doppelhaushälfte;0;2022;2.8;1.2;1.9;Terrasse. Garten. Balkon ;Massivhaus;849000;48442830;30519;Straße nicht freigegeben;Hannover;Seelhorst;11;4650
167.5;312.5;4;doppelhaushälfte;0;2022;2.8;1.2;1.9;Terrasse. Garten. Balkon ;Massivhaus;849000;94980630;30519;Straße nicht freigegeben;Hannover;Seelhorst;11;4650
102;313;5;doppelhaushälfte;2;1950;4;1.2;1.9;Terasse;Massivhaus;795000;98849879;30519;Straße nicht freigegeben;HannoverWaldheim;;11;4650
160;230;6;doppelhaushälfte;2;2023;2.8;1.2;1.9;Terasse;Massivhaus;1299000;81286071;30519;-;Hannover;Waldhausen;11;4650
117;268;4.5;einfamilienhaus;1.19;2023;2.8;1.2;1.9;Terrasse ;Massivhaus;544900;58994335;30519;Friedhofsallee 4-8;HannoverSeelhorst;;11;4650
293;725;8;mehrfamilienhaus;2;1955;4;1.2;1.9;Terrasse ;Massivhaus;1290000;65662226;30519;Straße nicht freigegeben;Hannover;Mittelfeld;11;4650
