wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;price;id;plz;street;city;district;kontextlabel;kontextWert
120.0;180.0;5.0;einfamilienhaus;0;2000;1;3;42000;55789885;37170;Straße nicht freigegeben;Uslar;;5;1300
120.0;350.0;8.0;mehrfamilienhaus;0;1810;0;3;45000;83869417;37639;Straße nicht freigegeben;Bevern;;1;1200
130.0;2181.0;2.0;bungalow;0;1972;0;3;65000;29604921;29497;Straße nicht freigegeben;Woltersdorf;Thurau;0;1050
194.0;929.0;7.0;einfamilienhaus;1;1956;1;3;69000;61892672;26723;Straße nicht freigegeben;Emden;Larrelt;9;2150
62.97;526.0;4.0;doppelhaushälfte;1;1909;0;3;69000;62337878;26842;Straße nicht freigegeben;Ostrhauderfehn;;5;2150
130.0;90.0;6.0;einfamilienhaus;1;1857;0;0;69000;45746403;37619;Straße nicht freigegeben;Bodenwerder;Rühle;5;1250
130.0;279.0;6.0;einfamilienhaus;1;1621;0;3;69000;27406277;31020;Straße nicht freigegeben;SalzhemmendorfOsterwald;;1;1400
82.4;400.0;3.0;einfamilienhaus;2;1936;2;3;70000;31529632;37154;Straße nicht freigegeben;Northeim;Imbshausen;6;1800
85.0;196.0;4.0;einfamilienhaus;0;1920;0;3;70000;41060997;37115;Straße nicht freigegeben;Duderstadt;;5;1500
249.0;372.0;8.0;einfamilienhaus;0;1900;0;3;79000;17977476;31020;Straße nicht freigegeben;Wallensen;;1;1400
68.0;507.0;4.0;einfamilienhaus;0;1900;0;1;79000;84313183;37154;Straße nicht freigegeben;NortheimStöckheim;;6;1800
200.0;550.0;7.0;doppelhaushälfte;2;1936;1;3;79500;31080013;37574;Straße nicht freigegeben;Einbeck;Vogelbeck;5;1050
200.0;550.0;7.0;doppelhaushälfte;2;1936;1;3;79500;55860098;37574;Straße nicht freigegeben;Einbeck;Vogelbeck;5;1050
168.0;1100.0;8.0;mehrfamilienhaus;1;1850;0;3;80000;97997040;37445;Straße nicht freigegeben;Wieda;;1;950
160.0;195.0;5.0;einfamilienhaus;2;1891;0;1;84500;83530743;37586;Straße nicht freigegeben;Dassel;Sievershausen;1;1350
170.0;412.0;10.0;einfamilienhaus;2;1908;2;3;85000;35780599;38685;Straße nicht freigegeben;LangelsheimLautenthal;;5;2350
102.0;832.0;6.0;einfamilienhaus;2;1960;0;1;85000;86267231;38379;Straße nicht freigegeben;Wolsdorf;;1;1750
170.0;412.0;10.0;einfamilienhaus;2;1908;2;3;85000;83093987;38685;Straße nicht freigegeben;LangelsheimLautenthal;;5;2350
70.0;541.0;3.0;doppelhaushälfte;0;1930;0;3;89000;19820270;26826;Straße nicht freigegeben;Weener;Stapelmoor;5;1700
102.0;608.0;6.0;einfamilienhaus;2;1938;0;3;89000;14610697;38388;Straße nicht freigegeben;Twieflingen;;1;1100
130.0;109.0;8.0;einfamilienhaus;2;1900;0;3;89900;57476031;31020;Straße nicht freigegeben;Salzhemmendorf;;1;1400
220.0;658.0;13.0;einfamilienhaus;1;1900;1;3;95000;90677784;29439;Straße nicht freigegeben;Lüchow;Gollau;0;1450
