price wohnflaeche grundstueckflaeche zimmer category basement year efficiency_rating condition kontextWert
42000 120.0 180.0 5.0 2 0 2000 1 3 1300
45000 120.0 350.0 8.0 3 0 1810 0 3 1200
65000 130.0 2181.0 2.0 0 0 1972 0 3 1050
69000 194.0 929.0 7.0 2 1 1956 1 3 2150
69000 62.97 526.0 4.0 1 1 1909 0 3 2150
69000 130.0 90.0 6.0 2 1 1857 0 0 1250
69000 130.0 279.0 6.0 2 1 1621 0 3 1400
70000 82.4 400.0 3.0 2 2 1936 2 3 1800
70000 85.0 196.0 4.0 2 0 1920 0 3 1500
79000 249.0 372.0 8.0 2 0 1900 0 3 1400
79000 68.0 507.0 4.0 2 0 1900 0 1 1800
79500 200.0 550.0 7.0 1 2 1936 1 3 1050
79500 200.0 550.0 7.0 1 2 1936 1 3 1050
80000 168.0 1100.0 8.0 3 1 1850 0 3 950
84500 160.0 195.0 5.0 2 2 1891 0 1 1350
85000 170.0 412.0 10.0 2 2 1908 2 3 2350
85000 102.0 832.0 6.0 2 2 1960 0 1 1750
85000 170.0 412.0 10.0 2 2 1908 2 3 2350
89000 70.0 541.0 3.0 1 0 1930 0 3 1700
89000 102.0 608.0 6.0 2 2 1938 0 3 1100
89900 130.0 109.0 8.0 2 2 1900 0 3 1400
95000 220.0 658.0 13.0 2 1 1900 1 3 1450
95000 110.0 1325.0 5.0 2 1 1880 0 3 1900
99000 100.0 944.0 4.0 2 2 1969 2 3 1900
99000 159.0 517.0 7.0 3 2 2002 0 3 1400
99000 108.0 800.0 3.0 1 0 1940 0 3 1950
99000 150.0 261.0 8.0 2 0 1900 1 1 1250
99000 64.49 236.0 3.0 1 1 1991 0 3 2350
99000 73.0 1229.0 4.0 2 1 1974 4 1 1700
99000 108.19 800.19 3.0 1 0 1940 0 3 1950
102000 182.0 328.0 6.0 1 2 1844 2 3 1000
104000 118.0 1821.0 4.0 2 1 1952 0 3 1950
105000 127.0 4674.0 3.0 2 0 1949 1 3 2750
109000 150.0 370.0 6.0 3 0 1900 0 3 1100
110000 211.0 1464.0 10.0 3 2 1937 4 3 1250
112000 182.0 328.0 6.0 1 2 1844 2 3 1000
113875 150.0 283.0 5.0 2 2 1900 1 3 1200
113875 150.0 283.0 5.0 2 2 1900 1 3 1200
115000 90.0 198.0 4.0 2 1 1956 0 3 1800
119000 100.0 536.0 3.5 2 1 1928 0 3 1950
119000 155.0 799.0 7.0 2 1 1886 0 3 1050
119000 166.0 527.0 7.0 2 1 1898 0 3 2050
119000 91.01 893.0 4.0 1 0 1950 2 3 2300
119500 260.0 1182.0 10.0 3 1 2019 4 3 850
119900 175.0 681.0 4.0 1 0 1925 0 3 1950
119900 175.0 681.0 4.0 1 0 1925 0 3 1950
120000 141.35 533.0 6.0 2 2 1968 0 3 1050
120000 71.5 289.0 4.0 1 2 1959 0 3 2350
120000 188.0 506.0 8.0 2 1 1991 1 1 950
120000 105.0 86.0 3.0 2 1 1932 3 1 1450
120000 145.0 400.0 6.0 2 2 1900 3 3 1800
120000 156.25 1474.0 6.0 2 2 1913 0 3 2150
120000 178.09 266.0 4.0 2 1 2020 1 1 1400
120000 71.5 289.0 4.0 1 2 1959 0 3 2350
124900 101.0 200.0 5.0 2 0 1900 0 1 1650
125000 85.0 600.0 3.0 2 2 1928 0 1 1550
125000 65.0 800.0 2.5 2 2 1995 0 3 2000
125000 70.0 586.0 3.0 2 2 1951 1 1 1850
125000 65.0 800.0 2.5 2 2 1995 0 3 2000
127000 155.0 283.0 10.0 2 1 1900 0 3 1050
129000 131.0 598.0 6.0 1 2 1945 0 0 1300
129000 235.0 537.0 8.0 1 2 1987 2 3 2350
129000 156.0 745.0 7.0 2 2 1856 0 3 1850
129000 138.0 300.0 6.0 2 2 1890 0 3 2100
129999 108.0 222.0 4.0 2 1 1920 1 0 1200
130000 90.0 798.0 4.0 1 1 1938 2 1 1850
134500 65.0 2000.0 3.5 2 0 1965 1 3 4050
134500 160.0 271.0 6.0 2 2 1970 1 3 1600
135000 150.0 747.0 6.0 1 2 1948 0 1 1150
135000 207.0 519.0 9.0 3 1 1975 2 3 1000
135000 160.0 452.0 5.0 2 2 1930 1 3 1150
136000 112.0 1229.0 5.0 2 2 1953 0 3 1600
137637 70.0 50.0 2.0 2 2 1912 0 1 2700
139000 100.0 510.0 4.0 2 1 1931 0 3 2050
139000 75.0 381.0 2.0 1 0 1977 1 1 2250
140000 146.8 703.0 7.0 2 2 1900 0 1 1850
140000 136.0 900.0 4.0 2 2 1964 0 3 2000
140000 140.62 1459.0 6.0 2 0 1974 2 3 2000
144000 160.0 252.0 7.0 2 2 1850 1 0 1650
145000 180.0 320.0 7.0 2 2 1992 0 3 1050
145000 160.0 1294.0 6.0 2 2 2013 0 3 1150
146000 107.5 1183.0 6.0 1 1 1952 1 3 2250
148000 150.0 1469.0 6.0 1 2 1923 0 3 1850
149000 350.04 707.04 13.0 3 2 1915 2 1 1100
149000 100.0 1153.0 6.0 2 2 1940 1 1 1800
149000 78.0 770.0 3.0 2 0 2013 0 1 2000
149000 94.0 350.0 6.0 2 1 1865 0 3 2200
149000 350.05 707.05 13.0 3 2 1915 2 1 1100
149000 85.0 152.0 3.0 2 0 2019 0 1 2000
149000 273.29 993.29 11.0 2 2 2003 3 1 2350
149900 190.0 756.0 7.0 2 2 1898 0 1 2000
152000 129.0 509.0 5.0 2 0 1900 1 3 2100
152000 129.0 509.0 5.0 2 0 1900 1 3 2100
158000 100.0 680.0 4.0 2 2 1956 0 3 2150
158000 270.0 1000.0 10.0 3 2 1962 1 3 2550
158500 180.0 800.0 8.0 2 2 1924 0 3 1400
159000 135.0 1250.0 6.0 2 1 1955 0 3 1350
159000 90.0 250.0 3.0 2 0 1982 0 1 2000
159000 103.49 835.0 3.0 2 1 1960 0 1 1650
159000 142.0 1500.0 6.0 2 2 1939 6 3 1650
159000 195.0 934.0 7.0 3 0 2001 0 3 2000
159000 66.78 1037.0 3.0 2 1 1927 0 1 2000
159500 127.12 790.0 4.0 2 1 1951 1 1 1750
160000 220.0 900.0 10.0 3 0 1936 0 3 950
160000 140.0 666.0 5.0 2 0 1965 1 3 2200
160000 106.0 221.0 5.0 1 2 1920 2 3 1800
162000 85.0 480.0 3.0 2 1 1936 2 1 1800
165000 106.0 450.0 4.0 1 1 1953 0 3 2200
165000 150.0 1100.0 5.0 2 0 1938 1 3 2150
167000 270.0 595.0 11.0 3 0 1904 1 1 1750
168000 159.0 372.0 5.0 2 2 1940 0 1 2300
169000 323.0 2775.0 13.0 3 2 1954 0 3 1250
169000 220.28 299.28 11.0 1 2 2014 0 1 1200
169000 100.0 600.0 4.0 2 2 1963 0 1 1750
169000 156.0 898.0 6.0 2 2 1971 1 3 1700
169000 138.18 514.0 4.0 2 2 1900 4 1 1200
169000 157.0 383.0 7.0 3 1 1900 4 1 1850
169000 154.0 670.0 5.0 2 2 1962 0 1 1150
169000 90.0 781.0 4.0 2 0 1900 0 3 1850
169000 220.08 299.08 11.0 1 2 2014 0 1 1200
169000 100.0 647.0 4.0 2 1 1955 0 1 1650
169000 135.0 680.0 6.0 3 2 1960 0 0 1950
169000 164.0 788.0 7.0 3 2 1964 0 1 800
169000 220.1 299.1 11.0 1 2 2014 0 1 1200
170000 96.72 1300.0 6.0 2 2 1960 0 3 2150
170000 80.0 11685.0 6.0 2 0 1852 0 3 2100
170000 96.79 1300.07 6.0 2 2 1960 0 3 2150
170000 80.0 14174.0 6.0 2 0 1852 0 3 2100
171000 120.0 1117.0 7.0 2 1 1969 0 3 1550
172000 185.72 1052.0 7.0 2 2 1900 1 3 1150
172500 99.9 1981.0 4.0 2 0 1870 1 3 1600
174000 98.0 1000.0 5.0 2 2 2005 0 3 1600
174000 75.0 485.0 5.0 2 0 1750 0 3 1150
174000 78.0 770.0 3.0 2 0 2013 0 1 2000
174900 135.0 1210.0 5.0 2 1 1955 0 3 800
175000 140.0 733.0 7.0 2 2 1971 1 1 1350
175000 95.0 770.0 5.0 2 2 1963 2 1 2100
175000 140.0 1646.0 7.0 2 1 1920 0 3 1900
175000 115.0 1563.0 5.0 2 0 1956 0 3 1750
175000 134.53 1028.0 6.0 3 2 1963 0 1 1300
175000 100.0 537.0 4.0 1 2 1951 3 1 2100
177000 98.0 900.0 4.0 2 2 1965 1 3 1900
178000 79.2 1450.2 3.0 0 0 1981 3 1 1850
179000 160.0 1275.0 6.0 2 1 1939 0 3 1600
179000 150.0 527.0 7.0 3 2 1903 0 1 2550
179000 120.0 520.0 12.0 2 2 1938 1 0 1000
179000 200.0 1159.0 9.0 3 2 1934 1 0 1050
179000 70.43 269.0 4.0 1 2 1955 0 3 2650
179000 103.0 599.0 5.0 2 1 1951 3 3 1950
179900 128.0 600.0 7.0 2 2 1948 0 3 1750
179900 128.0 600.0 7.0 2 2 1948 0 3 1750
180000 162.0 721.0 6.0 2 2 2016 4 1 1950
180000 112.5 988.0 4.0 2 2 1974 1 1 1050
180000 273.28 993.28 11.0 2 2 2003 3 1 2350
180000 98.0 1297.0 5.0 2 1 1941 0 3 2650
180000 154.82 1215.0 6.0 2 1 1936 1 3 2250
180000 160.46 440.0 7.0 2 2 1900 2 1 1000
180000 137.5 300.0 6.0 3 2 1900 2 1 1550
180000 273.17 993.17 11.0 2 2 2003 3 1 2350
180000 99.0 336.0 5.0 1 2 1970 0 3 2750
182000 74.44 391.0 2.0 0 1 2004 0 1 2200
182000 100.0 993.0 5.0 2 1 1968 1 1 2150
185000 120.0 496.0 3.0 2 1 1977 0 3 1950
185000 124.41 728.0 7.0 2 0 1951 1 3 2250
185000 100.0 404.0 4.0 2 1 1924 0 1 2150
185000 202.0 1219.0 10.0 2 1 1973 4 1 950
185000 129.0 1116.0 6.0 2 2 1998 1 3 1050
185000 265.0 826.0 13.0 3 2 1959 5 3 1800
185000 121.0 700.0 6.0 1 2 1938 0 3 2100
185000 125.0 452.0 5.0 2 2 1955 1 1 1700
185000 125.0 452.0 5.0 2 2 1955 1 1 1700
185000 95.76 696.0 4.0 2 2 1962 0 3 2100
189000 162.84 3541.0 8.0 2 2 1970 2 3 1850
189000 270.0 960.0 8.0 3 1 1903 0 1 2650
189000 75.0 140.0 4.0 1 1 1936 2 0 3600
189000 200.0 557.0 7.0 2 1 1920 0 1 2100
189000 68.0 350.0 3.0 1 2 1953 0 1 3350
189000 77.0 1130.0 4.0 1 2 1958 0 1 1950
189000 65.0 430.0 3.0 1 2 1956 0 3 2750
189000 77.0 1130.0 4.0 1 2 1958 0 1 1950
189000 123.0 210.0 7.0 3 2 1953 1 3 2150
189000 95.0 324.0 4.0 2 0 1977 0 3 2100
189000 65.0 430.0 3.0 1 2 1956 0 3 2750
189000 107.0 443.0 5.0 2 0 1946 3 1 2150
189950 100.0 1100.0 4.0 0 2 1974 0 3 2300
190000 110.96 899.0 9.0 2 2 1900 0 1 2050
190000 160.0 745.0 6.0 3 2 1965 0 1 2550
190000 94.0 621.0 4.0 1 2 1951 1 1 3200
190000 130.0 1312.0 5.0 2 2 1970 1 3 2000
190000 166.0 1000.0 5.0 2 1 1967 2 3 2400
190000 130.04 1312.04 5.0 2 2 1970 1 3 2000
194500 212.0 970.0 4.0 3 0 1890 2 1 1250
195000 90.0 702.0 5.0 2 2 1965 1 1 1600
195000 110.0 599.0 5.0 2 1 1952 0 3 2150
195000 160.0 8295.0 6.0 2 0 1971 0 3 1200
195000 186.0 963.0 7.0 3 1 1977 1 1 1300
195000 90.0 985.0 4.0 2 1 1960 0 3 2150
195000 96.0 865.0 4.0 2 1 1958 3 0 2100
195000 100.0 1393.0 5.0 2 1 1954 0 3 2000
195000 175.0 1350.0 4.0 3 2 1885 1 3 2000
196000 123.03 866.03 5.0 2 2 1964 1 1 1400
196000 217.0 886.0 5.0 2 2 1962 1 3 1950
196000 151.0 2004.0 6.0 2 1 1965 1 3 2050
197000 90.0 985.0 4.0 2 2 1938 4 1 2100
198000 94.15 374.15 4.0 1 2 1983 2 1 2250
198000 102.0 280.0 4.0 1 2 1983 2 1 2250
198000 139.0 4626.0 7.0 2 0 1800 0 3 1900
198000 185.0 609.0 7.0 2 1 1850 2 3 1850
198000 79.0 1450.0 3.0 0 0 1981 3 1 1850
198000 192.17 1898.0 8.0 2 0 1900 2 1 1150
198000 160.09 9631.09 6.0 2 0 1920 1 3 1150
198000 160.23 9631.23 6.0 2 0 1920 1 3 1150
198000 185.0 609.0 7.0 2 1 1850 2 3 1850
198000 134.0 414.0 4.5 1 0 1949 4 3 1950
198000 107.0 447.0 4.0 2 0 1979 3 1 2050
198000 192.46 1898.29 8.0 2 0 1900 2 1 1150
199000 82.0 527.0 6.0 1 2 1936 0 1 2650
199000 140.0 475.0 6.0 2 1 1953 0 3 2300
199000 80.0 378.0 3.0 1 2 1967 1 0 1400
199000 136.0 1808.0 6.0 2 1 2003 1 3 2200
199000 113.0 408.0 5.0 1 2 1981 3 1 2750
199000 115.0 794.0 5.0 3 2 1964 0 1 1850
199000 133.0 451.0 6.0 3 2 1952 2 1 2650
199000 230.0 960.0 8.0 2 1 1964 0 1 1500
199000 236.17 1034.17 8.0 2 2 1914 3 1 2650
199000 90.0 546.0 3.0 1 2 1984 4 1 1700
199000 120.0 530.0 5.0 2 2 1957 0 3 2400
199000 197.0 558.0 5.0 2 0 1957 2 1 1150
199000 154.0 670.0 5.0 2 2 1962 0 1 1150
199000 240.0 1509.0 11.0 2 1 1900 0 3 2350
199000 120.0 1509.0 4.0 0 2 1980 1 3 200
199000 136.59 1500.0 6.0 2 2 1990 0 1 2000
199000 130.0 439.0 6.0 2 2 1930 1 1 1650
199000 134.74 520.0 4.0 1 2 1889 2 1 2100
199000 131.0 1577.0 6.0 2 2 1960 3 3 1850
199000 130.0 737.0 6.0 2 0 1973 1 3 2400
199000 130.0 932.0 4.0 2 1 1963 1 1 1650
199000 108.0 691.0 4.0 2 0 1975 0 1 1900
199000 110.0 1011.0 5.0 2 1 1963 1 0 2100
199000 117.0 1126.0 5.0 2 1 1936 1 3 1950
199000 109.0 1912.0 4.0 2 1 1981 0 3 2200
199000 82.04 527.04 6.0 1 2 1936 0 1 2650
199000 236.02 1034.02 8.0 2 2 1914 3 1 2650
199000 172.0 1133.0 6.0 2 1 1900 0 1 1800
199000 127.37 520.0 4.0 1 2 2004 3 2 2100
199000 85.0 750.0 4.0 1 1 1952 0 1 2300
199000 180.0 1061.0 6.0 2 0 1920 2 1 2150
199000 90.0 3707.0 6.0 2 1 1964 1 1 2100
199000 127.0 1191.0 5.0 2 1 1982 3 3 2100
199000 115.0 802.0 5.0 2 2 1964 3 3 2550
199000 150.0 818.0 6.0 3 2 1935 0 3 2200
199000 125.0 1875.0 4.0 2 1 1934 3 1 750
199000 197.17 558.17 5.0 2 0 1957 2 1 1150
199000 241.0 592.0 13.0 3 1 1910 2 3 1250
199800 96.0 844.0 5.0 2 1 1967 1 1 2100
199900 95.76 696.0 4.0 2 2 1962 0 3 2100
199900 168.6 522.0 6.0 2 1 1890 3 1 2000
200000 248.16 982.0 12.0 3 2 1928 5 1 1150
200000 84.9 1597.0 3.5 2 2 1968 0 3 3200
205500 165.0 1031.0 6.0 2 2 1960 3 3 1400
206000 151.0 2004.0 6.0 2 1 1965 1 3 2050
207500 205.44 1517.0 6.0 1 1 1922 1 0 2150
209000 85.0 750.0 4.0 1 1 1952 0 1 2300
209000 180.0 2030.0 9.0 2 1 1960 2 3 2750
209000 166.0 1000.0 5.0 2 1 1967 2 3 2400
209000 180.0 339.0 9.0 3 2 1960 0 1 1300
209000 153.07 1400.0 7.0 2 1 1996 0 3 1950
210000 200.0 962.0 10.0 2 2 1938 3 3 2000
210000 108.0 434.0 4.0 2 1 1926 0 1 2050
210000 132.0 1478.0 8.0 2 2 1974 0 1 2050
210000 122.0 1011.0 6.0 2 1 1952 0 3 2250
210000 108.0 721.0 6.0 2 2 1956 2 3 200
210000 130.0 5000.0 4.0 2 2 1955 0 0 2300
210000 150.0 1042.0 6.0 2 1 1961 0 1 2400
210000 120.65 519.0 6.0 2 2 1957 0 1 2150
210000 120.0 1200.0 4.0 2 2 1938 0 3 2200
213000 134.74 520.0 4.0 1 2 1889 2 1 2100
215000 193.0 869.0 7.0 3 2 1974 1 1 1200
215000 102.8 1289.0 4.0 2 2 1965 0 1 2350
215000 297.78 955.0 8.0 2 2 1911 0 3 1950
215000 140.0 3695.0 4.0 2 0 1942 0 1 2350
215000 168.0 939.0 8.0 2 1 1963 0 1 2050
217000 230.0 300.0 8.0 3 2 1957 0 1 1900
217000 230.0 284.0 8.0 3 2 1957 0 1 1900
218000 184.36 629.0 7.0 2 1 1908 1 1 2050
218000 115.88 366.0 5.0 2 1 1954 0 3 2700
219000 114.0 714.0 6.0 2 2 1953 1 1 1850
219000 190.0 804.0 5.0 3 2 1905 1 1 1000
219000 343.0 1255.0 12.0 3 2 1920 4 1 2250
219000 113.0 1400.0 4.0 2 2 1978 5 1 2500
219000 256.0 625.0 11.0 3 1 1902 0 1 1000
219000 123.81 700.0 5.0 2 0 2010 5 1 1800
219000 110.0 580.0 4.0 2 1 1960 0 0 2300
219000 107.0 443.0 5.0 2 0 1946 3 1 2150
219000 71.0 947.0 4.0 2 1 1961 3 1 2150
219000 169.0 2609.0 6.0 2 2 1996 0 3 2300
219000 87.0 913.0 4.0 1 2 1950 1 1 2350
219000 116.0 160.0 5.0 2 0 1870 1 1 2400
219000 108.41 1035.0 5.0 2 1 2004 0 1 2850
219000 123.81 700.0 5.0 2 0 2010 5 1 1800
219000 150.0 876.0 5.0 0 1 1959 1 3 1950
220000 131.0 1296.0 3.0 2 0 1961 0 3 2050
220000 124.0 1015.0 5.0 2 2 1960 2 1 1700
220000 70.0 63.0 3.0 2 0 2021 0 0 2400
220000 100.0 683.0 6.0 2 2 1938 0 3 2300
220000 133.0 1179.0 5.0 1 2 1955 2 3 1950
220000 108.0 591.0 4.0 0 2 1971 1 3 1500
220000 229.0 670.0 8.0 3 2 1790 1 1 3100
224900 209.0 710.0 6.0 3 1 1951 0 3 1850
225000 95.0 666.0 5.0 2 1 1962 2 1 2150
225000 141.0 1364.0 6.0 2 2 1907 0 3 1750
225000 123.0 852.0 6.0 2 1 1964 0 1 2750
225000 150.0 1944.0 5.0 2 2 1931 0 1 1650
225000 123.0 490.0 5.0 1 2 1928 1 3 2150
225000 77.0 1177.0 2.0 2 0 1864 1 0 2150
225000 97.8 501.0 4.0 1 0 1993 2 3 2200
225000 172.0 1133.0 6.0 2 1 1900 0 1 1800
225000 100.0 660.0 5.0 2 2 1950 0 3 3550
225000 195.49 1000.0 8.0 2 2 1938 1 1 1950
228000 120.29 755.29 4.0 2 2 1967 3 1 1800
228000 120.08 755.08 4.0 2 2 1967 3 1 1800
228000 120.17 755.17 4.0 2 2 1967 3 1 1800
229000 181.0 827.0 6.0 2 1 1964 3 3 1950
229000 203.44 900.0 6.0 3 2 1967 0 1 1300
229000 187.0 519.0 7.0 3 2 1935 2 1 1500
229000 115.0 1790.0 4.0 2 1 1957 0 3 2600
229000 124.0 1262.0 6.0 2 1 1995 0 1 2050
229000 130.0 8162.0 7.0 2 1 1955 0 3 1800
229000 100.0 711.0 3.0 1 2 1956 1 1 2150
229000 182.98 756.0 7.0 2 2 1974 1 3 2100
229000 178.0 1414.0 7.0 3 2 1978 2 1 1650
229000 138.0 855.0 7.0 2 1 1960 1 3 200
229000 110.65 700.0 4.0 2 2 1972 0 1 2450
229000 170.0 646.0 6.0 2 2 1973 2 0 2050
229000 104.0 200.0 4.0 1 0 2003 4 1 2300
229000 90.0 599.0 4.0 2 2 1963 0 1 1950
229000 115.0 1790.0 4.0 2 1 1957 0 3 2600
229500 180.0 1061.0 6.0 2 0 1920 2 1 2150
229500 180.0 1061.0 6.0 2 0 1920 2 1 2150
229500 140.0 1995.0 5.0 2 2 1965 3 0 1000
229890 140.0 1238.0 5.0 2 0 1900 3 3 1550
229900 97.11 639.0 3.0 2 0 1950 3 1 1950
230000 95.76 696.0 4.0 2 2 1962 0 3 2100
230000 275.0 1470.0 13.0 2 1 1900 3 1 1100
230000 120.0 5459.0 5.0 2 1 1964 1 3 2050
230000 130.0 427.0 7.0 3 2 1893 2 1 2350
230000 160.0 707.0 6.0 3 2 1957 2 1 1400
230000 100.0 665.0 5.0 2 2 1938 0 3 3250
230000 75.0 1098.0 3.0 2 0 2020 8 1 2150
230000 157.0 1250.0 8.0 2 2 1955 2 1 1600
230000 164.39 1394.0 8.0 2 1 1970 0 1 2250
230000 103.0 223.0 5.0 1 2 1978 4 1 2300
234500 241.0 592.0 13.0 3 1 1910 2 3 1250
235000 87.0 913.0 4.0 1 2 1950 1 1 2350
235000 115.0 696.0 5.0 2 2 1974 2 1 1950
235000 120.0 415.0 5.0 2 1 2006 1 3 2150
235000 140.0 3695.0 4.0 2 0 1942 0 1 2350
235000 188.0 1289.0 8.0 3 1 1967 1 1 1200
235000 96.15 680.0 4.0 2 1 1959 0 1 2050
235000 95.0 478.0 4.0 0 0 1971 2 1 2550
235000 100.0 395.0 4.0 1 0 1995 3 1 2350
235000 125.0 850.0 5.0 0 2 1965 0 1 1950
235000 125.0 672.0 7.0 2 1 1959 3 3 2250
235000 208.64 867.21 6.0 2 0 1955 1 1 2000
238500 260.0 467.0 7.0 3 1 1990 2 1 2100
239000 126.0 631.0 3.0 1 2 1959 4 1 2750
239000 148.94 493.0 6.0 1 1 1997 1 1 1750
239000 226.0 978.0 9.5 2 1 1934 2 3 2750
239000 110.0 738.0 4.0 2 1 1927 1 0 1650
239000 100.0 643.0 4.0 1 1 1963 0 1 2650
239000 183.78 1248.0 7.0 2 2 1960 1 1 1650
239000 120.0 999.0 5.0 2 2 1985 0 1 2100
239000 107.0 1000.0 4.0 2 0 1960 0 1 2250
239000 96.0 397.0 4.0 2 1 1958 0 1 2450
239000 109.0 428.0 4.0 1 1 1985 1 1 2450
239000 123.0 648.0 3.0 2 1 1965 1 3 2850
239000 270.0 1361.0 11.0 3 2 1936 1 1 950
239000 160.0 2354.0 6.0 2 1 1957 0 1 2250
239000 160.34 830.0 5.0 2 2 1975 2 2 1250
239000 107.0 1000.0 4.0 2 0 1960 0 1 2250
239000 172.03 672.0 8.0 3 2 1950 1 1 2150
239000 120.0 630.0 6.0 2 0 1977 1 3 2000
239000 107.47 276.0 4.0 1 0 1999 5 1 2100
239000 245.0 1539.0 10.0 3 2 1956 0 0 2000
239000 93.1 501.0 4.0 1 2 1914 5 1 1950
239000 115.0 838.0 5.0 2 1 1968 1 1 2000
239000 127.95 1811.0 5.0 2 1 1958 0 1 2150
239000 140.0 795.0 5.0 2 0 1894 1 3 2100
239000 172.05 672.02 8.0 3 2 1950 1 1 2150
239000 140.9 985.0 6.0 2 2 1986 5 1 2200
240000 146.0 1295.0 5.0 2 0 1959 1 3 2400
240000 107.13 406.13 3.0 2 2 1890 0 1 2500
240000 220.0 3241.0 11.0 3 2 2012 0 3 1650
240000 220.0 3241.0 11.0 3 2 2012 0 3 1650
240000 99.0 1395.0 6.0 2 2 1975 3 1 2250
240000 184.46 205.0 10.0 3 0 1907 0 3 1950
240000 184.66 205.2 10.0 3 0 1907 0 3 1950
240000 156.0 915.0 5.0 2 2 1956 4 1 2250
243000 143.0 1002.0 6.0 2 2 1967 1 1 1800
243000 242.0 1042.0 10.0 1 2 1933 1 1 1650
244000 105.0 630.0 6.0 1 2 1954 2 0 2200
245000 130.0 932.0 4.0 2 1 1963 1 1 1650
245000 135.0 722.0 5.0 2 1 1930 2 1 2050
245000 88.0 1398.0 4.0 2 2 1984 3 1 1850
245000 88.0 1398.0 4.0 2 2 1984 3 1 1850
245000 88.0 1398.0 4.0 2 2 1984 3 1 1850
245000 88.0 1398.0 4.0 2 2 1984 3 1 1850
245000 88.0 1398.0 4.0 2 2 1984 3 1 1850
245000 130.0 932.0 4.0 2 1 1963 1 1 1650
245000 120.0 1330.0 5.0 2 1 1960 3 1 1900
245000 155.0 550.0 6.0 2 1 2012 1 3 2850
245000 123.24 885.0 6.0 2 1 1965 1 1 1850
245000 224.19 1093.0 8.0 2 1 1964 0 1 2100
245000 131.0 1242.0 5.0 2 1 2006 0 1 2100
245000 208.85 796.0 9.0 3 1 1964 1 1 2050
245000 130.0 3652.0 7.0 2 2 1960 0 3 1600
245000 110.0 586.0 5.0 2 1 1960 1 3 2250
246000 130.57 794.0 4.0 0 2 1972 3 1 1800
246000 150.0 3500.0 6.0 2 2 1900 0 3 1500
247000 95.0 801.0 6.0 2 2 1956 0 1 1700
247000 111.0 1444.0 6.0 2 1 1957 0 3 2150
248000 130.0 495.0 4.0 1 0 1998 4 1 2350
248000 90.0 678.0 4.0 2 0 2000 4 3 1750
248000 125.0 245.0 6.0 3 2 1960 1 1 2150
248000 86.1 633.0 3.0 2 0 1998 3 1 2250
248000 176.74 639.0 9.0 3 2 1955 1 3 2250
248000 200.0 647.0 7.0 3 0 1984 4 1 1850
249000 187.0 1238.0 5.0 2 1 1980 1 3 2550
249000 110.0 1068.0 4.0 2 0 1829 1 3 2550
249000 120.0 1051.0 5.0 2 0 1975 2 1 1800
249000 208.43 867.0 6.0 2 0 1955 1 1 2000
249000 151.0 1150.0 7.0 2 0 2018 1 1 2100
249000 128.0 938.0 4.0 0 2 1970 2 3 2400
249000 136.0 1128.0 6.0 2 2 1965 1 1 1650
249000 150.0 818.0 6.0 3 2 1935 0 3 2200
249000 120.0 708.0 4.0 2 2 1968 1 3 2550
249000 149.22 1250.22 7.0 2 2 1975 0 1 1700
249000 300.0 385.0 12.0 3 2 1904 0 2 1250
249000 90.0 241.0 4.0 2 0 1973 0 1 2100
249000 60.0 275.0 3.0 2 0 2004 1 1 2100
249000 110.17 1068.17 4.0 2 0 1829 1 3 2550
249000 171.99 1294.0 8.0 2 2 1951 1 3 1950
