wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;kontextWert;price1;price2;priceDelta
-10.0;90.0;-1.0;0;-1;143;1;3;50;42000;69000;-27000
12.0;-42.0;1.0;0;-1;80;0;3;100;42000;129999;-87999
-40.0;-15.0;0.0;0;-2;109;1;2;-50;42000;84500;-42500
12.0;128.0;4.0;1;-1;-110;-1;3;0;45000;129999;-84999
-30.0;67.0;3.0;1;-2;-90;-1;0;0;45000;113875;-68875
-30.0;67.0;3.0;1;-2;-90;-1;0;0;45000;113875;-68875
-10.0;186.0;-3.0;1;-2;7;-3;3;50;65000;229500;-164500
-11.35;1648.0;-4.0;1;-2;4;0;0;0;65000;120000;-55000
17.5;1193.0;-2.0;1;-2;-2;-1;2;0;65000;180000;-115000
15.34;46.0;0.0;0;-1;-9;0;2;0;69000;292000;-223000
11.6;-82.0;0.0;1;0;-3;-1;2;0;69000;295000;-226000
13.0;-151.0;0.0;0;0;0;1;3;0;69000;389000;-320000
10.0;-90.0;1.0;0;1;-143;-1;-3;-50;69000;42000;27000
-20.0;-171.0;-2.0;0;1;-43;-1;-1;0;69000;99000;-30000
22.0;-132.0;2.0;0;0;-63;-1;0;50;69000;129999;-60999
0.0;170.0;-2.0;0;-1;-279;0;0;0;69000;89900;-20900
-48.09;13.0;2.0;0;0;-399;-1;2;0;69000;120000;-51000
-30.0;84.0;1.0;0;-1;-270;0;2;50;69000;84500;-15500
-2.6;-80.0;0.0;0;1;0;0;2;0;70000;162000;-92000
-7.6;202.0;-1.0;0;1;-20;2;0;0;70000;115000;-45000
12.4;-186.0;0.0;0;0;-15;1;2;-50;70000;125000;-55000
-20.0;110.0;1.0;0;-1;-12;-3;2;50;70000;120000;-50000
-16.0;-4.0;-1.0;0;0;20;0;2;-150;70000;124900;-54900
0.0;-404.0;1.0;0;-2;-8;0;2;-50;70000;125000;-55000
-7.0;76.0;-11.0;1;-2;0;-3;2;50;79000;295000;-216000
29.0;-286.0;-5.0;0;-1;0;-1;0;-50;79000;95000;-16000
119.0;263.0;0.0;0;-2;0;0;0;0;79000;89900;-10900
23.0;7.0;2.0;0;0;0;-1;0;100;79000;335000;-256000
-22.0;-274.0;0.0;0;0;0;0;-2;-50;79000;169000;-90000
-17.0;27.0;1.0;0;-1;-36;-2;0;0;79000;162000;-83000
-34.0;-119.0;-2.0;1;0;-123;-4;2;0;80000;185000;-105000
-32.0;-59.0;-1.0;0;-1;-84;-1;3;-100;80000;179000;-99000
-52.0;200.0;-2.0;0;1;-86;0;0;0;80000;160000;-80000
30.0;86.0;-3.0;0;0;-9;0;-2;-50;84500;89900;-5400
10.0;-66.0;-3.0;0;2;-9;-1;0;100;84500;99000;-14500
10.0;-88.0;0.0;0;0;-9;-1;-2;150;84500;113875;-29375
0.0;0.0;0.0;0;0;0;0;0;0;85000;85000;0
-43.38;-78.0;3.0;1;2;-2;0;3;0;85000;299000;-214000
-43.38;-78.0;3.0;1;2;-2;0;3;0;85000;279000;-194000
7.0;31.0;0.0;0;0;4;0;0;50;85000;247000;-162000
-1.49;-3.0;3.0;0;1;0;0;0;100;85000;159000;-74000
2.0;232.0;2.0;0;0;-3;0;0;0;85000;169000;-84000
0.0;0.0;0.0;0;0;0;0;0;0;85000;85000;0
-43.38;-78.0;3.0;1;2;-2;0;3;0;85000;299000;-214000
-43.38;-78.0;3.0;1;2;-2;0;3;0;85000;279000;-194000
-18.0;88.0;-6.0;0;0;0;-1;3;100;89000;179000;-90000
-39.35;75.0;0.0;0;0;-30;0;0;50;89000;120000;-31000
-58.0;156.0;1.0;0;0;8;-1;0;-50;89000;135000;-46000
-30.0;-86.0;3.0;0;0;9;0;2;50;89900;84500;5400
0.0;-170.0;2.0;0;1;279;0;0;0;89900;69000;20900
-20.0;-152.0;0.0;0;2;0;-1;2;150;89900;99000;-9100
-1.0;-60.0;6.0;1;1;0;1;0;-100;95000;340000;-245000
-29.0;286.0;5.0;0;1;0;1;0;50;95000;79000;16000
40.0;91.0;7.0;0;-1;-11;1;2;50;95000;295500;-200500
-10.0;-5.0;0.0;0;0;-80;-3;2;0;95000;245000;-150000
-4.0;71.0;1.0;0;-1;-100;0;0;-50;95000;340000;-245000
10.0;-68.0;0.0;0;0;-74;0;0;-100;95000;195000;-100000
2.0;44.0;0.0;0;0;4;1;0;0;99000;177000;-78000
-1.58;17.0;0.0;0;0;1;2;0;100;99000;275000;-176000
-8.0;253.0;0.0;0;2;-6;2;2;0;99000;199000;-100000
-21.0;-50.0;1.0;1;0;91;0;2;0;99000;315500;-216500
-21.0;-50.0;1.0;1;0;91;0;2;0;99000;295500;-196500
-1.0;-190.0;1.0;0;0;45;-2;2;0;99000;230000;-131000
0.0;-22.0;3.0;0;-2;0;0;-2;50;99000;113875;-14875
0.0;-22.0;3.0;0;-2;0;0;-2;50;99000;113875;-14875
-10.0;66.0;3.0;0;-2;9;1;0;-100;99000;84500;14500
-76.22;-21.22;-3.0;0;-1;-1;4;0;0;99000;249000;-150000
-85.0;-81.0;-1.0;0;-1;-5;1;0;0;99000;330000;-231000
-15.0;-169.0;0.0;0;-1;-10;1;0;-150;99000;245000;-146000
-29.0;-129.0;-1.0;0;1;-5;0;2;0;104000;350000;-246000
-29.0;-129.0;-1.0;0;1;-5;0;2;0;104000;350000;-246000
-29.0;-129.0;-1.0;0;1;-5;0;2;0;104000;350000;-246000
-5.72;3996.0;-1.0;0;-1;-6;-2;3;0;105000;465000;-360000
17.0;4201.0;-1.0;0;-1;-9;1;0;0;105000;350000;-245000
-6.0;2166.0;-2.0;0;-1;-10;0;2;0;105000;340000;-235000
-5.0;87.0;-4.0;1;-1;0;0;0;50;109000;127000;-18000
0.0;87.0;1.0;1;-2;0;-1;0;-100;109000;113875;-4875
0.0;87.0;1.0;1;-2;0;-1;0;-100;109000;113875;-4875
-16.0;-106.0;0.0;0;1;2;0;2;-150;110000;330000;-220000
-41.0;130.0;1.0;1;0;1;1;2;-100;110000;349000;-239000
31.0;64.0;1.0;0;0;-67;2;2;-50;110000;255000;-145000
0.0;0.0;0.0;0;0;0;0;0;0;113875;113875;0
0.0;22.0;-3.0;0;2;0;0;2;-50;113875;99000;14875
0.0;-87.0;-1.0;1;2;0;1;0;100;113875;109000;4875
0.0;0.0;0.0;0;0;0;0;0;0;113875;113875;0
0.0;22.0;-3.0;0;2;0;0;2;-50;113875;99000;14875
0.0;-87.0;-1.0;1;2;0;1;0;100;113875;109000;4875
7.6;-202.0;1.0;0;-1;20;-2;0;0;115000;70000;45000
5.0;-282.0;1.0;0;0;20;-2;2;0;115000;162000;-47000
-10.0;-402.0;0.0;0;-1;-7;0;2;50;115000;169000;-54000
