PLZ;Bundesland;Kreis;Typ
21217;Niedersachsen;Harburg;Kreis
21218;Niedersachsen;Harburg;Kreis
21220;Niedersachsen;Harburg;Kreis
21224;Niedersachsen;Harburg;Kreis
21227;Niedersachsen;Harburg;Kreis
21228;Niedersachsen;Harburg;Kreis
21244;Niedersachsen;Harburg;Kreis
21255;Niedersachsen;Harburg;Kreis
21256;Niedersachsen;Harburg;Kreis
21258;Niedersachsen;Harburg;Kreis
21259;Niedersachsen;Harburg;Kreis
21261;Niedersachsen;Harburg;Kreis
21266;Niedersachsen;Harburg;Kreis
21271;Niedersachsen;Harburg;Kreis
21272;Niedersachsen;Harburg;Kreis
21274;Niedersachsen;Harburg;Kreis
21279;Niedersachsen;Harburg;Kreis
21335;Niedersachsen;Lüneburg;Kreis
21337;Niedersachsen;Lüneburg;Kreis
21339;Niedersachsen;Lüneburg;Kreis
21354;Niedersachsen;Lüneburg;Kreis
21357;Niedersachsen;Lüneburg;Kreis
21358;Niedersachsen;Lüneburg;Kreis
21360;Niedersachsen;Lüneburg;Kreis
21365;Niedersachsen;Lüneburg;Kreis
21368;Niedersachsen;Lüneburg;Kreis
21369;Niedersachsen;Lüneburg;Kreis
21371;Niedersachsen;Lüneburg;Kreis
21376;Niedersachsen;Harburg;Kreis
21379;Niedersachsen;Lüneburg;Kreis
21380;Niedersachsen;Lüneburg;Kreis
21382;Niedersachsen;Lüneburg;Kreis
21385;Niedersachsen;Lüneburg;Kreis
21386;Niedersachsen;Lüneburg;Kreis
21388;Niedersachsen;Lüneburg;Kreis
21391;Niedersachsen;Lüneburg;Kreis
21394;Niedersachsen;Lüneburg;Kreis
21395;Niedersachsen;Harburg;Kreis
21397;Niedersachsen;Lüneburg;Kreis
21398;Niedersachsen;Lüneburg;Kreis
21400;Niedersachsen;Lüneburg;Kreis
21401;Niedersachsen;Lüneburg;Kreis
21403;Niedersachsen;Lüneburg;Kreis
21406;Niedersachsen;Lüneburg;Kreis
21407;Niedersachsen;Lüneburg;Kreis
21409;Niedersachsen;Lüneburg;Kreis
21423;Niedersachsen;Harburg;Kreis
21435;Niedersachsen;Harburg;Kreis
21436;Niedersachsen;Harburg;Kreis
21438;Niedersachsen;Harburg;Kreis
21439;Niedersachsen;Harburg;Kreis
21441;Niedersachsen;Harburg;Kreis
21442;Niedersachsen;Harburg;Kreis
21444;Niedersachsen;Harburg;Kreis
21445;Niedersachsen;Harburg;Kreis
21447;Niedersachsen;Lüneburg;Kreis
21449;Niedersachsen;Lüneburg;Kreis
21522;Niedersachsen;Lüneburg;Kreis
21614;Niedersachsen;Stade;Kreis
21629;Niedersachsen;Harburg;Kreis
21635;Niedersachsen;Stade;Kreis
21640;Niedersachsen;Stade;Kreis
21641;Niedersachsen;Stade;Kreis
21643;Niedersachsen;Stade;Kreis
21644;Niedersachsen;Stade;Kreis
21646;Niedersachsen;Harburg;Kreis
21647;Niedersachsen;Harburg;Kreis
21649;Niedersachsen;Harburg;Kreis
21680;Niedersachsen;Stade;Kreis
21682;Niedersachsen;Stade;Kreis
21683;Niedersachsen;Stade;Kreis
21684;Niedersachsen;Stade;Kreis
21698;Niedersachsen;Stade;Kreis
21702;Niedersachsen;Stade;Kreis
21706;Niedersachsen;Stade;Kreis
21709;Niedersachsen;Stade;Kreis
21710;Niedersachsen;Stade;Kreis
21712;Niedersachsen;Stade;Kreis
21714;Niedersachsen;Stade;Kreis
21717;Niedersachsen;Stade;Kreis
21720;Niedersachsen;Stade;Kreis
21723;Niedersachsen;Stade;Kreis
21726;Niedersachsen;Stade;Kreis
21727;Niedersachsen;Stade;Kreis
21729;Niedersachsen;Stade;Kreis
21730;Niedersachsen;Stade;Kreis
21732;Niedersachsen;Stade;Kreis
21734;Niedersachsen;Stade;Kreis
21737;Niedersachsen;Stade;Kreis
21739;Niedersachsen;Stade;Kreis
21745;Niedersachsen;Cuxhaven;Kreis
21755;Niedersachsen;Cuxhaven;Kreis
21756;Niedersachsen;Cuxhaven;Kreis
21762;Niedersachsen;Cuxhaven;Kreis
21763;Niedersachsen;Cuxhaven;Kreis
21765;Niedersachsen;Cuxhaven;Kreis
21769;Niedersachsen;Cuxhaven;Kreis
21770;Niedersachsen;Cuxhaven;Kreis
21772;Niedersachsen;Cuxhaven;Kreis
21775;Niedersachsen;Cuxhaven;Kreis
21776;Niedersachsen;Cuxhaven;Kreis
21781;Niedersachsen;Cuxhaven;Kreis
21782;Niedersachsen;Cuxhaven;Kreis
21784;Niedersachsen;Cuxhaven;Kreis
21785;Niedersachsen;Cuxhaven;Kreis
21787;Niedersachsen;Cuxhaven;Kreis
21789;Niedersachsen;Cuxhaven;Kreis
26121;Niedersachsen;Oldenburg;Stadt
26122;Niedersachsen;Oldenburg;Stadt
26123;Niedersachsen;Oldenburg;Stadt
26125;Niedersachsen;Oldenburg;Stadt
26127;Niedersachsen;Oldenburg;Stadt
26129;Niedersachsen;Oldenburg;Stadt
26131;Niedersachsen;Oldenburg;Stadt
26133;Niedersachsen;Oldenburg;Stadt
26135;Niedersachsen;Oldenburg;Stadt
26160;Niedersachsen;Ammerland;Kreis
26169;Niedersachsen;Cloppenburg;Kreis
26180;Niedersachsen;Ammerland;Kreis
26188;Niedersachsen;Ammerland;Kreis
26197;Niedersachsen;Oldenburg;Kreis
26203;Niedersachsen;Oldenburg;Kreis
26209;Niedersachsen;Oldenburg;Kreis
26215;Niedersachsen;Ammerland;Kreis
26219;Niedersachsen;Cloppenburg;Kreis
26316;Niedersachsen;Friesland;Kreis
26340;Niedersachsen;Friesland;Kreis
26345;Niedersachsen;Friesland;Kreis
26349;Niedersachsen;Wesermarsch;Kreis
26382;Niedersachsen;Wilhelmshaven;Stadt
26384;Niedersachsen;Wilhelmshaven;Stadt
26386;Niedersachsen;Wilhelmshaven;Stadt
26388;Niedersachsen;Wilhelmshaven;Stadt
26389;Niedersachsen;Wilhelmshaven;Stadt
26409;Niedersachsen;Wittmund;Kreis
26419;Niedersachsen;Friesland;Kreis
26427;Niedersachsen;Wittmund;Kreis
26434;Niedersachsen;Friesland;Kreis
26441;Niedersachsen;Friesland;Kreis
26446;Niedersachsen;Wittmund;Kreis
26452;Niedersachsen;Friesland;Kreis
26465;Niedersachsen;Wittmund;Kreis
26474;Niedersachsen;Wittmund;Kreis
26486;Niedersachsen;Friesland;Kreis
26487;Niedersachsen;Wittmund;Kreis
26489;Niedersachsen;Wittmund;Kreis
26506;Niedersachsen;Aurich;Kreis
26524;Niedersachsen;Aurich;Kreis
26529;Niedersachsen;Aurich;Kreis
26532;Niedersachsen;Aurich;Kreis
26548;Niedersachsen;Aurich;Kreis
26553;Niedersachsen;Aurich;Kreis
26556;Niedersachsen;Wittmund;Kreis
26571;Niedersachsen;Aurich;Kreis
26579;Niedersachsen;Aurich;Kreis
26603;Niedersachsen;Aurich;Kreis
26605;Niedersachsen;Aurich;Kreis
26607;Niedersachsen;Aurich;Kreis
26624;Niedersachsen;Aurich;Kreis
26629;Niedersachsen;Aurich;Kreis
26632;Niedersachsen;Aurich;Kreis
26639;Niedersachsen;Aurich;Kreis
26655;Niedersachsen;Ammerland;Kreis
26670;Niedersachsen;Leer;Kreis
26676;Niedersachsen;Cloppenburg;Kreis
26683;Niedersachsen;Cloppenburg;Kreis
26689;Niedersachsen;Ammerland;Kreis
26721;Niedersachsen;Emden;Stadt
26723;Niedersachsen;Emden;Stadt
26725;Niedersachsen;Emden;Stadt
26736;Niedersachsen;Aurich;Kreis
26757;Niedersachsen;Leer;Kreis
26759;Niedersachsen;Aurich;Kreis
26789;Niedersachsen;Leer;Kreis
26802;Niedersachsen;Leer;Kreis
26810;Niedersachsen;Leer;Kreis
26817;Niedersachsen;Leer;Kreis
26826;Niedersachsen;Leer;Kreis
26831;Niedersachsen;Leer;Kreis
26835;Niedersachsen;Leer;Kreis
26842;Niedersachsen;Leer;Kreis
26844;Niedersachsen;Leer;Kreis
26845;Niedersachsen;Leer;Kreis
26847;Niedersachsen;Leer;Kreis
26849;Niedersachsen;Leer;Kreis
26871;Niedersachsen;Emsland;Kreis
26892;Niedersachsen;Emsland;Kreis
26897;Niedersachsen;Emsland;Kreis
26899;Niedersachsen;Emsland;Kreis
26901;Niedersachsen;Emsland;Kreis
26903;Niedersachsen;Emsland;Kreis
26904;Niedersachsen;Emsland;Kreis
26906;Niedersachsen;Emsland;Kreis
26907;Niedersachsen;Emsland;Kreis
26909;Niedersachsen;Emsland;Kreis
26919;Niedersachsen;Wesermarsch;Kreis
26931;Niedersachsen;Wesermarsch;Kreis
26935;Niedersachsen;Wesermarsch;Kreis
26936;Niedersachsen;Wesermarsch;Kreis
26937;Niedersachsen;Wesermarsch;Kreis
26939;Niedersachsen;Wesermarsch;Kreis
26954;Niedersachsen;Wesermarsch;Kreis
26969;Niedersachsen;Wesermarsch;Kreis
27211;Niedersachsen;Diepholz;Kreis
27232;Niedersachsen;Diepholz;Kreis
27239;Niedersachsen;Diepholz;Kreis
27243;Niedersachsen;Oldenburg;Kreis
27245;Niedersachsen;Diepholz;Kreis
27246;Niedersachsen;Diepholz;Kreis
27248;Niedersachsen;Diepholz;Kreis
27249;Niedersachsen;Diepholz;Kreis
27251;Niedersachsen;Diepholz;Kreis
27252;Niedersachsen;Diepholz;Kreis
27254;Niedersachsen;Diepholz;Kreis
27257;Niedersachsen;Diepholz;Kreis
27259;Niedersachsen;Diepholz;Kreis
27283;Niedersachsen;Verden;Kreis
27299;Niedersachsen;Verden;Kreis
27305;Niedersachsen;Diepholz;Kreis
27308;Niedersachsen;Verden;Kreis
27313;Niedersachsen;Verden;Kreis
27318;Niedersachsen;Nienburg_Weser;Kreis
27321;Niedersachsen;Verden;Kreis
27324;Niedersachsen;Nienburg_Weser;Kreis
27327;Niedersachsen;Diepholz;Kreis
27330;Niedersachsen;Diepholz;Kreis
27333;Niedersachsen;Nienburg_Weser;Kreis
27336;Niedersachsen;Heidekreis;Kreis
27337;Niedersachsen;Verden;Kreis
27339;Niedersachsen;Verden;Kreis
27356;Niedersachsen;Rotenburg Wümme;Kreis
27367;Niedersachsen;Rotenburg Wümme;Kreis
27374;Niedersachsen;Rotenburg Wümme;Kreis
